,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
455,Gündogan,Man City,3,2.1,73,1663,754063,10.7,78,Midfielder,10.7
456,De Bruyne,Man City,3,27.9,121,1924,6115839,10.6,128,Midfielder,10.6
457,Stones,Man City,2,1.5,54,1180,355574,10,54,Defender,10
458,Mahrez,Man City,3,9.4,76,1055,1937734,10.9,83,Midfielder,10.9
459,Grealish,Man City,3,2.7,68,1432,434404,11.5,78,Midfielder,11.5
460,Cancelo,Man City,2,19.4,71,1273,3729404,10.3,73,Defender,10.3
461,Santana de Moraes,Man City,1,13.9,54,2340,1565371,17,92,Goalkeeper,17
462,Aké,Man City,2,4.3,51,1420,856029,11.4,58,Defender,11.4
463,Laporte,Man City,2,0.5,57,555,94873,3.7,21,Defender,3.7
465,Veiga de Carvalho e Silva,Man City,3,5.8,68,1702,1835656,13.4,91,Midfielder,13.4
466,Gato Alves Dias,Man City,2,6.5,59,1277,809103,9.2,54,Defender,9.2
467,Foden,Man City,3,10.1,80,1342,4368152,13.5,108,Midfielder,13.5
468,Hernandez,Man City,3,1.9,56,2147,246167,15.2,85,Midfielder,15.2
469,Palmer,Man City,3,0.1,43,110,16135,1.9,8,Midfielder,1.9
471,Haaland,Man City,4,84.7,122,2021,5638711,16.1,197,Forward,16.1
